room_id,room_name,capacity,is_lab
R001,Room 001,60,0
R002,Room 002,60,0
R003,Room 003,60,0
R004,Room 004,60,0
R005,Room 005,60,0
R006,Room 006,60,0
R007,Room 007,60,0
R008,Room 008,60,0
R009,Room 009,60,0
R010,Room 010,60,0
R011,Room 011,60,0
R012,Room 012,60,0
R013,Room 013,60,0
R014,Room 014,60,0
R015,Room 015,60,0
R016,Room 016,60,0
R017,Room 017,60,0
R018,Room 018,60,0
R019,Room 019,60,0
R020,Room 020,60,0
R021,Room 021,60,0
R022,Room 022,60,0
R023,Room 023,60,0
R024,Room 024,60,0
R025,Room 025,60,0
R026,Room 026,60,0
R027,Room 027,60,0
R028,Room 028,60,0
R029,Room 029,60,0
R030,Room 030,60,0
R031,Room 031,60,0
R032,Room 032,60,0
R033,Room 033,60,0
R034,Room 034,60,0
R035,Room 035,60,0
R036,Room 036,60,0
R037,Room 037,60,0
R038,Room 038,60,0
R039,Room 039,60,0
R040,Room 040,60,0
L001,Lab 001,60,1
L002,Lab 002,60,1
L003,Lab 003,60,1
L004,Lab 004,60,1
L005,Lab 005,60,1
L006,Lab 006,60,1
L007,Lab 007,60,1
L008,Lab 008,60,1
L009,Lab 009,60,1
L010,Lab 010,60,1
L011,Lab 011,60,1
L012,Lab 012,60,1
